[-0.7776, -1.6869, 2.7661, -1.0781, 0.7932, -3.1416]
[-0.7295, -1.6472, 2.7353, -1.0871, 0.8413, -3.1415]
[-0.6877, -1.6121, 2.7052, -1.092, 0.8831, -3.1415]
[-0.6509, -1.5805, 2.6756, -1.094, 0.9199, -3.1414]
[-0.6182, -1.5516, 2.6463, -1.0938, 0.9526, -3.1414]
[-0.5889, -1.5246, 2.6173, -1.0918, 0.9819, -3.1413]
[-0.5624, -1.4993, 2.5886, -1.0883, 1.0084, -3.1413]
[-0.5383, -1.4754, 2.5601, -1.0837, 1.0325, -3.1413]
[-0.5163, -1.4526, 2.5317, -1.0782, 1.0545, -3.1412]
[-0.4962, -1.4307, 2.5034, -1.0718, 1.0746, -3.1412]
[-0.4776, -1.4096, 2.4752, -1.0647, 1.0932, -3.1412]
[-0.4604, -1.3891, 2.447, -1.057, 1.1104, -3.1412]
[-0.4445, -1.3692, 2.4188, -1.0487, 1.1263, -3.1412]
[-0.4297, -1.3498, 2.3906, -1.0397, 1.141, -3.1413]
[-0.4158, -1.3308, 2.3624, -1.0308, 1.155, -3.1411]
[-0.4029, -1.3122, 2.3342, -1.0212, 1.1679, -3.1411]
[-0.3907, -1.2938, 2.3059, -1.0112, 1.18, -3.1411]
[-0.3793, -1.2757, 2.2774, -1.0009, 1.1915, -3.1411]
[-0.3686, -1.2579, 2.2489, -0.9902, 1.2022, -3.1411]
[-0.3584, -1.2402, 2.2203, -0.9793, 1.2124, -3.1411]
[-0.3488, -1.2227, 2.1916, -0.968, 1.222, -3.1411]
[-0.3397, -1.2053, 2.1627, -0.9565, 1.2311, -3.1411]
[-0.3311, -1.1879, 2.1335, -0.9444, 1.2391, -3.1416]
[-0.323, -1.1708, 2.1044, -0.9327, 1.2478, -3.1411]
[-0.3152, -1.1537, 2.075, -0.9205, 1.2556, -3.1411]
[-0.3078, -1.1366, 2.0454, -0.9081, 1.2638, -3.1415]
[-0.3007, -1.1195, 2.0155, -0.8951, 1.2701, -3.141]
[-0.294, -1.1024, 1.9854, -0.8821, 1.2768, -3.141]
[-0.2876, -1.0854, 1.9551, -0.8689, 1.2832, -3.141]
[-0.2814, -1.0681, 1.9242, -0.8543, 1.2898, -3.1412]
[-0.2755, -1.0511, 1.8935, -0.8416, 1.2953, -3.141]
[-0.2699, -1.0339, 1.8623, -0.8276, 1.3009, -3.141]
[-0.2644, -1.0166, 1.8308, -0.8133, 1.3064, -3.141]
[-0.2592, -0.9992, 1.7989, -0.7988, 1.3116, -3.141]
[-0.2542, -0.9817, 1.7666, -0.784, 1.3166, -3.141]
[-0.2494, -0.964, 1.7336, -0.768, 1.3221, -3.1416]
[-0.2448, -0.9464, 1.7008, -0.7536, 1.326, -3.141]
[-0.2403, -0.9284, 1.6672, -0.738, 1.3305, -3.141]
[-0.236, -0.9103, 1.6331, -0.722, 1.3348, -3.141]
[-0.2319, -0.892, 1.5985, -0.7057, 1.3389, -3.141]
[-0.2279, -0.8735, 1.5634, -0.689, 1.3429, -3.141]
[-0.224, -0.8547, 1.5276, -0.672, 1.3468, -3.141]
[-0.2203, -0.8357, 1.4912, -0.6546, 1.3505, -3.141]
[-0.2167, -0.8164, 1.454, -0.6368, 1.3541, -3.141]
[-0.2132, -0.7967, 1.4161, -0.6186, 1.3576, -3.141]
[-0.2098, -0.7766, 1.3773, -0.5999, 1.361, -3.141]
[-0.2065, -0.7562, 1.3377, -0.5806, 1.3643, -3.141]
[-0.2034, -0.7353, 1.297, -0.5609, 1.3674, -3.141]
[-0.2003, -0.7139, 1.2552, -0.5405, 1.3705, -3.141]
[-0.1973, -0.692, 1.2122, -0.5194, 1.3735, -3.141]
[-0.1944, -0.6694, 1.1679, -0.4976, 1.3764, -3.141]
[-0.1916, -0.6461, 1.122, -0.475, 1.3792, -3.141]
[-0.1889, -0.6221, 1.0744, -0.4515, 1.3819, -3.1409]
[-0.1862, -0.5971, 1.0248, -0.4269, 1.3846, -3.1409]
[-0.1836, -0.571, 0.973, -0.4012, 1.3872, -3.1409]
[-0.1811, -0.5437, 0.9185, -0.374, 1.3897, -3.1409]
[-0.1787, -0.5149, 0.8609, -0.3452, 1.3921, -3.1409]
[-0.1763, -0.4842, 0.7994, -0.3144, 1.3945, -3.1409]
[-0.174, -0.4513, 0.733, -0.2809, 1.3968, -3.1409]
[-0.1717, -0.4153, 0.6604, -0.2443, 1.3991, -3.1409]
[-0.1695, -0.3753, 0.5792, -0.2031, 1.4013, -3.1409]
