[-0.7776, -1.5662, 2.7888, -1.2215, 0.7932, -3.1416]
[-0.7295, -1.5355, 2.7563, -1.2197, 0.8413, -3.1415]
[-0.6877, -1.5081, 2.7247, -1.2155, 0.8831, -3.1415]
[-0.6509, -1.483, 2.6938, -1.2098, 0.9199, -3.1414]
[-0.6182, -1.4596, 2.6633, -1.2019, 0.9523, -3.1414]
[-0.5889, -1.4379, 2.6337, -1.1949, 0.9819, -3.1413]
[-0.5624, -1.417, 2.6042, -1.1863, 1.0084, -3.1413]
[-0.5383, -1.397, 2.5749, -1.177, 1.0325, -3.1413]
[-0.5163, -1.3778, 2.5459, -1.1673, 1.0545, -3.1412]
[-0.4962, -1.3591, 2.5171, -1.1571, 1.0746, -3.1412]
[-0.4776, -1.3409, 2.4883, -1.1465, 1.0932, -3.1412]
[-0.4604, -1.3232, 2.4597, -1.1356, 1.1103, -3.1412]
[-0.4445, -1.3058, 2.4311, -1.1244, 1.1263, -3.1412]
[-0.4297, -1.2887, 2.4025, -1.113, 1.1411, -3.1412]
[-0.4158, -1.2718, 2.374, -1.1013, 1.155, -3.1411]
[-0.4029, -1.2552, 2.3454, -1.0893, 1.1679, -3.1411]
[-0.3907, -1.2387, 2.3168, -1.0772, 1.1801, -3.1411]
[-0.3793, -1.2223, 2.2881, -1.0649, 1.1915, -3.1411]
[-0.3686, -1.2061, 2.2593, -1.0524, 1.2022, -3.1411]
[-0.3584, -1.19, 2.2305, -1.0397, 1.2124, -3.1411]
[-0.3488, -1.1739, 2.2015, -1.0268, 1.222, -3.1411]
[-0.3397, -1.1579, 2.1724, -1.0137, 1.231, -3.1411]
[-0.3311, -1.1419, 2.1432, -1.0005, 1.2397, -3.1411]
[-0.323, -1.1259, 2.1138, -0.987, 1.2478, -3.1411]
[-0.3152, -1.1099, 2.0842, -0.9734, 1.2556, -3.1411]
[-0.3078, -1.0939, 2.0544, -0.9596, 1.263, -3.141]
[-0.3007, -1.0779, 2.0244, -0.9457, 1.2701, -3.141]
[-0.294, -1.0619, 1.9942, -0.9315, 1.2768, -3.141]
[-0.2876, -1.0457, 1.9638, -0.9172, 1.2832, -3.141]
[-0.2814, -1.0295, 1.9331, -0.9027, 1.2894, -3.141]
[-0.2755, -1.0133, 1.902, -0.8879, 1.2953, -3.141]
[-0.2699, -0.9969, 1.8707, -0.873, 1.3009, -3.141]
[-0.2644, -0.9804, 1.8391, -0.8579, 1.3063, -3.141]
[-0.2592, -0.9638, 1.8072, -0.8425, 1.3116, -3.141]
[-0.2542, -0.9471, 1.7748, -0.8269, 1.3166, -3.141]
[-0.2494, -0.9302, 1.7421, -0.811, 1.3214, -3.141]
[-0.2448, -0.9132, 1.7091, -0.7954, 1.3258, -3.1416]
[-0.2403, -0.8959, 1.6753, -0.7786, 1.3305, -3.141]
[-0.236, -0.8785, 1.6412, -0.7619, 1.3348, -3.141]
[-0.2319, -0.8608, 1.6066, -0.745, 1.3389, -3.141]
[-0.2279, -0.8429, 1.5715, -0.7277, 1.3429, -3.141]
[-0.224, -0.8247, 1.5357, -0.7101, 1.3468, -3.141]
[-0.2203, -0.8063, 1.4992, -0.6922, 1.3505, -3.141]
[-0.2167, -0.7875, 1.4622, -0.6738, 1.3541, -3.141]
[-0.2132, -0.7684, 1.4242, -0.655, 1.3576, -3.141]
[-0.2098, -0.7489, 1.3855, -0.6358, 1.361, -3.141]
[-0.2065, -0.7288, 1.3457, -0.6153, 1.3639, -3.1416]
[-0.2034, -0.7086, 1.3054, -0.5959, 1.3674, -3.141]
[-0.2003, -0.6878, 1.2637, -0.5751, 1.3705, -3.141]
[-0.1973, -0.6663, 1.2208, -0.5537, 1.3735, -3.141]
[-0.1944, -0.6443, 1.1766, -0.5315, 1.3764, -3.141]
[-0.1916, -0.6213, 1.1305, -0.5075, 1.3793, -3.1404]
[-0.1889, -0.598, 1.0836, -0.4848, 1.3819, -3.1409]
[-0.1862, -0.5735, 1.0342, -0.4599, 1.3846, -3.1409]
[-0.1836, -0.548, 0.9827, -0.4339, 1.3872, -3.1409]
[-0.1811, -0.5212, 0.9286, -0.4066, 1.3897, -3.1409]
[-0.1787, -0.493, 0.8715, -0.3776, 1.3921, -3.1409]
[-0.1763, -0.463, 0.8106, -0.3467, 1.3945, -3.1409]
[-0.174, -0.4308, 0.745, -0.3134, 1.3968, -3.1409]
[-0.1717, -0.3957, 0.6735, -0.2769, 1.3991, -3.1409]
[-0.1695, -0.3567, 0.5937, -0.2361, 1.4012, -3.141]
