[[20, 3, 1, 'blue'], [20, 6, 1, 'orange'], [20, 9, 1, 'red'], [20, 12, 1, 'yellow']]
[[16, 2, 1, 'blue'], [20, 6, 1, 'orange'], [20, 9, 1, 'red'], [20, 12, 1, 'yellow']]
[[16, 2, 1, 'blue'], [26, 6, 1, 'orange'], [20, 9, 1, 'red'], [20, 12, 1, 'yellow']]
[[16, 2, 1, 'blue'], [26, 6, 1, 'orange'], [31, 8, 1, 'red'], [20, 12, 1, 'yellow']]
[[16, 2, 1, 'blue'], [26, 6, 1, 'orange'], [31, 8, 1, 'red'], [9, 1, 1, 'yellow']]
[[20, 12, 1, 'blue'], [26, 6, 1, 'orange'], [31, 8, 1, 'red'], [9, 1, 1, 'yellow']]
[[20, 12, 1, 'blue'], [20, 9, 1, 'orange'], [31, 8, 1, 'red'], [9, 1, 1, 'yellow']]
[[20, 12, 1, 'blue'], [20, 9, 1, 'orange'], [20, 6, 1, 'red'], [9, 1, 1, 'yellow']]
[[20, 12, 1, 'blue'], [20, 9, 1, 'orange'], [20, 6, 1, 'red'], [20, 3, 1, 'yellow']]
