[-0.7776, -1.8388, 2.7232, -0.8833, 0.7931, -3.1416]
[-0.7295, -1.7905, 2.6952, -0.9036, 0.8413, -3.1415]
[-0.6877, -1.7478, 2.6674, -0.9186, 0.8831, -3.1415]
[-0.6509, -1.7093, 2.6399, -0.9296, 0.9199, -3.1414]
[-0.6182, -1.674, 2.6124, -0.9374, 0.9526, -3.1414]
[-0.5889, -1.6414, 2.5851, -0.9427, 0.9819, -3.1413]
[-0.5624, -1.611, 2.5578, -0.9459, 1.0084, -3.1413]
[-0.5383, -1.5823, 2.5305, -0.9473, 1.0325, -3.1413]
[-0.5163, -1.5551, 2.5033, -0.9473, 1.0545, -3.1412]
[-0.4962, -1.5292, 2.476, -0.9459, 1.0746, -3.1412]
[-0.4776, -1.5044, 2.4488, -0.9435, 1.0932, -3.1412]
[-0.4604, -1.4805, 2.4214, -0.9401, 1.1103, -3.1412]
[-0.4445, -1.4574, 2.3941, -0.9358, 1.1263, -3.1412]
[-0.4297, -1.435, 2.3666, -0.9308, 1.1411, -3.1412]
[-0.4158, -1.4132, 2.3391, -0.925, 1.155, -3.1411]
[-0.4029, -1.3919, 2.3114, -0.9187, 1.1679, -3.1411]
[-0.3907, -1.3711, 2.2837, -0.9117, 1.1801, -3.1411]
[-0.3793, -1.3507, 2.2558, -0.9043, 1.1915, -3.1411]
[-0.3686, -1.3306, 2.2278, -0.8963, 1.2022, -3.1411]
[-0.3584, -1.3109, 2.1996, -0.8879, 1.2124, -3.1411]
[-0.3488, -1.2914, 2.1713, -0.879, 1.222, -3.1411]
[-0.3397, -1.2722, 2.1428, -0.8698, 1.231, -3.1411]
[-0.3311, -1.2531, 2.1141, -0.8601, 1.2397, -3.1411]
[-0.323, -1.2342, 2.0852, -0.8501, 1.2478, -3.1411]
[-0.3152, -1.2155, 2.0561, -0.8398, 1.2556, -3.1411]
[-0.3078, -1.1969, 2.0267, -0.829, 1.263, -3.1411]
[-0.3007, -1.1783, 1.9972, -0.818, 1.2701, -3.141]
[-0.294, -1.1599, 1.9673, -0.8066, 1.2768, -3.141]
[-0.2876, -1.1414, 1.9372, -0.7949, 1.2832, -3.141]
[-0.2814, -1.1231, 1.9068, -0.7829, 1.2894, -3.141]
[-0.2755, -1.1047, 1.8761, -0.7706, 1.2953, -3.141]
[-0.2699, -1.0862, 1.8449, -0.7576, 1.3008, -3.1408]
[-0.2644, -1.0678, 1.8136, -0.745, 1.3064, -3.141]
[-0.2592, -1.0493, 1.7819, -0.7317, 1.3116, -3.141]
[-0.2542, -1.0308, 1.7497, -0.7181, 1.3166, -3.141]
[-0.2494, -1.0121, 1.7171, -0.7042, 1.3214, -3.141]
[-0.2448, -0.9934, 1.6841, -0.6899, 1.326, -3.141]
[-0.2403, -0.9745, 1.6505, -0.6753, 1.3305, -3.141]
[-0.236, -0.9554, 1.6165, -0.6603, 1.3348, -3.141]
[-0.2319, -0.9363, 1.5821, -0.6454, 1.3396, -3.1416]
[-0.2279, -0.9168, 1.5468, -0.6292, 1.3429, -3.141]
[-0.224, -0.8971, 1.511, -0.613, 1.3468, -3.141]
[-0.2203, -0.8772, 1.4745, -0.5965, 1.3505, -3.141]
[-0.2167, -0.857, 1.4373, -0.5794, 1.3541, -3.141]
[-0.2132, -0.8365, 1.3993, -0.5619, 1.3576, -3.141]
[-0.2098, -0.8157, 1.3604, -0.5439, 1.361, -3.141]
[-0.2065, -0.7944, 1.3206, -0.5253, 1.3643, -3.141]
[-0.2034, -0.7727, 1.2797, -0.5062, 1.3674, -3.141]
[-0.2003, -0.7505, 1.2377, -0.4864, 1.3705, -3.141]
[-0.1973, -0.7278, 1.1944, -0.4659, 1.3735, -3.141]
[-0.1944, -0.7044, 1.1497, -0.4445, 1.3764, -3.141]
[-0.1916, -0.6803, 1.1035, -0.4224, 1.3792, -3.141]
[-0.1889, -0.6554, 1.0554, -0.3992, 1.3819, -3.1409]
[-0.1862, -0.6295, 1.0053, -0.375, 1.3846, -3.1409]
[-0.1836, -0.6025, 0.9528, -0.3494, 1.3872, -3.1409]
[-0.1811, -0.5742, 0.8974, -0.3224, 1.3897, -3.1409]
[-0.1787, -0.5444, 0.8388, -0.2936, 1.3921, -3.1409]
[-0.1763, -0.5126, 0.7759, -0.2626, 1.3945, -3.1409]
[-0.174, -0.4783, 0.7079, -0.2288, 1.3968, -3.1409]
[-0.1717, -0.4407, 0.6329, -0.1914, 1.3991, -3.1409]
[-0.1695, -0.3984, 0.5481, -0.1489, 1.4013, -3.1409]
